SEX,AGE,ISO,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F,15-74,PT,12.8,11.2,9.4,7.4,7.1,7.1,7.0,6.6,6.9,6.9
F,15-74,RO,5.8,5.0,4.0,3.5,3.4,4.7,5.1,5.1,5.1,5.1
F,15-74,RS,18.8,16.2,14.4,13.8,11.2,9.5,12.2,10.1,9.9,8.9
F,15-74,SE,7.3,6.6,6.4,6.2,7.0,8.3,9.2,7.9,7.9,8.5
F,15-74,SI,10.1,8.6,7.5,5.7,5.0,5.6,5.3,4.3,3.7,4.0
F,15-74,SK,12.9,10.8,8.4,7.0,6.0,7.1,7.0,6.4,5.9,5.9
F,15-74,TR,12.6,13.7,13.9,13.8,16.5,14.9,14.7,13.5,12.7,11.8
F,20-24,AT,9.3,8.6,6.7,8.2,7.0,8.7,10.1,7.0,8.7,8.0
F,20-24,BA,NaN,NaN,NaN,NaN,NaN,NaN,42.6,41.3,32.7,34.2
F,20-24,BE,19.1,17.0,17.9,14.2,11.1,14.0,15.4,13.1,12.7,12.4
F,20-24,BG,20.0,15.9,10.0,10.0,6.7,11.3,13.4,8.9,9.9,10.3
F,20-24,CH,7.7,8.1,7.4,6.5,6.6,7.5,7.4,6.1,6.5,7.0
F,20-24,CY,29.3,29.8,21.1,15.5,14.2,11.1,13.7,16.6,14.7,13.3
F,20-24,CZ,12.6,9.7,7.2,6.2,4.8,7.7,7.6,5.7,7.2,7.2
F,20-24,DE,5.9,5.5,5.0,4.5,4.2,5.7,5.6,4.4,4.4,5.3
F,20-24,DK,10.2,8.9,9.8,7.8,8.1,8.4,9.9,9.9,9.1,11.5
F,20-24,EE,11.5,9.3,8.0,9.0,11.0,18.1,11.3,14.0,12.8,17.8
F,20-24,GR,53.4,49.8,45.8,42.2,36.0,38.4,39.7,36.6,27.3,20.7
F,20-24,ES,43.9,42.0,34.2,29.9,31.7,36.2,33.0,28.0,25.7,23.5
F,20-24,FI,15.9,13.2,14.7,13.0,11.2,14.7,10.9,9.1,11.5,12.6
F,20-24,FR,21.1,21.9,19.0,18.1,16.1,18.2,16.4,13.7,13.3,15.2
F,20-24,HR,37.2,25.0,24.5,27.2,16.2,16.4,23.7,17.5,17.2,12.6
F,20-24,HU,13.8,11.7,10.6,9.4,9.1,13.0,14.3,7.7,9.6,11.3
F,20-24,IE,14.7,11.1,9.8,9.2,7.5,13.3,10.8,8.1,8.2,8.0
F,20-24,IS,NaN,NaN,NaN,NaN,NaN,7.0,9.7,NaN,NaN,8.5
F,20-24,IT,39.5,37.1,34.6,31.9,28.0,29.7,30.1,22.9,23.4,19.8
F,20-24,LT,16.0,12.7,11.4,10.1,8.4,16.8,14.9,9.3,8.6,14.7
F,20-24,LU,14.9,15.0,10.2,9.4,12.8,17.6,12.8,12.7,NaN,NaN
F,20-24,LV,13.5,12.4,15.3,11.4,8.6,14.5,13.2,10.0,9.7,12.7
F,20-24,ME,30.6,30.7,30.5,25.5,24.1,39.2,NaN,NaN,NaN,NaN
F,20-24,MK,43.2,47.3,47.6,40.1,39.0,37.2,36.1,37.3,28.0,26.4
F,20-24,MT,6.4,8.3,7.1,4.3,6.7,6.6,NaN,NaN,NaN,6.0
F,20-24,NL,8.4,7.9,6.9,4.8,5.1,7.7,6.0,5.5,6.0,6.9
F,20-24,NO,6.0,6.6,6.6,6.6,6.3,7.6,7.1,5.8,7.2,6.1
F,20-24,PL,20.0,16.7,14.2,11.7,9.0,11.0,11.5,10.2,9.7,8.7
F,20-24,PT,31.0,26.4,23.4,18.0,19.9,22.6,24.8,17.1,17.8,20.2
F,20-24,RO,20.6,18.6,15.6,13.9,14.8,13.4,18.1,20.9,18.8,18.7
F,20-24,RS,46.3,38.1,33.2,29.5,27.3,27.5,27.4,22.5,26.2,20.6
F,20-24,SE,14.5,11.8,11.9,11.0,13.2,15.6,15.7,16.0,13.8,15.1
F,20-24,SI,14.8,14.8,12.5,9.9,8.1,14.6,13.0,11.3,5.2,7.9
F,20-24,SK,24.4,24.0,17.2,13.3,15.8,19.0,18.4,16.9,13.0,14.8
F,20-24,TR,24.0,26.6,28.9,27.0,33.0,32.2,30.6,27.1,24.9,24.1
F,20-29,AT,7.1,6.7,5.8,6.3,5.9,7.1,8.2,5.7,6.9,6.2
F,20-29,BA,NaN,NaN,NaN,NaN,NaN,NaN,34.2,33.2,26.9,25.0
